id|timestamp|category|title|content|company|address|link
C#_20250414|20250414|C#|CRD 手機遊戲Unity工程師【歡迎應屆畢業生】|"1. 以 C# 語言搭配 Unity 開發遊戲
2. 維護現有的遊戲並開發新功能

【必備專業條件】
1.熟 C# 語法
(面試包含 C# 測驗，上機考時間約20分鐘)

【加分條件】
1.熟 iOS &amp; Android 者佳
2.會使用 Cocos 跟 JavaScript

★想要更加了解慧邦科技嗎？歡迎到gamesofa careers看看！
https://www.facebook.com/GamesofaCareers/"|神來也麻將_慧邦科技股份有限公司|羅斯福路二段100號10樓|https:////www.104.com.tw/job/8bgsi?jobsource=hotjob_chr
C#_20250414|20250414|C#|程式設計人員|"依中小企業信用保證基金職務出缺情形分發單位

*************************************************************************
1.學歷：國內外大學(含)以上畢業，且已取得學士(含)以上學位(畢業)證書。
2.工作經驗：資訊系統開發經驗2年(含)以上。
3.工作技能：具以下資訊系統開發經驗。
  (1)熟悉Web Form，物件導向程式設計，MS SQL Server資料庫應用及設計。
  (2)熟悉網頁技術：HTML、JS、CSS。
  (3)擅長Microsoft Visual Studio for C#。
  (4)具.NET 6(含)以上開發經驗者。

"|財團法人中小企業信用保證基金|羅斯福路一段6號3-5樓|https:////www.104.com.tw/job/6ryoc?jobsource=hotjob_chr
C#_20250414|20250414|C#|C#工程師|"1、	熟悉[[[C]]][[[#]]]、JavaScript程式開發.
2、	ASP.NET網站應用系統開發.
3、	具備RWD響應式網站設計經驗尤佳.
4、	具備API開發與串接經驗尤佳.
5、	MS SQL資料庫設計與維護
"|聯錸科技股份有限公司|忠孝東路四段285號7樓|https:////www.104.com.tw/job/7tf91?jobsource=n104bank2
C#_20250310|20250310|C#|.Net C# Web|"體驗。
•	完成主管交付的任務，展現你的專業能力。

徵才條件
•	具備.Net [[[C]]][[[#]]]全端開發經驗，能整合後端與前端技術。
•	熟悉.NET Framework及.NET Core，具有扎實的開發能力。
•	掌握JavaScript、JQuery、"|百商數位科技股份有限公司|敦化南路二段105號18樓|https:////www.104.com.tw/job/4q1dl?jobsource=n104bank2
C#_20250408|20250408|C#|C# .NET工程師|"公司內部相關程式開發、應用、維護與委外廠商溝通合作。
1. ASP.NET [[[C]]][[[#]]]應用系統程式開發設計
2.電子商務官網維運與功能開發
3.與委外廠商溝通合作"|阿瘦實業股份有限公司|松江路168號6樓|https:////www.104.com.tw/job/8l577?jobsource=n104bank2
C#_20250408|20250408|C#|C#、ASP.NET、VUE 3工程師|"１、２年以上[[[C]]][[[#]]]、ASP.NET core(.net8) WEB開發經驗（無實際[[[C]]][[[#]]]開發經驗者，請勿主動應徵）。
２、Vue  3 年以上開發經驗（無實際Vue  開發經驗者，請勿主動應徵）。
３、「必要條件」：熟[[[C]]][[[#]]]、ASP.NET core("|仁維軟體科技有限公司||https:////www.104.com.tw/job/8kgi6?jobsource=n104bank2
C#_20250409|20250409|C#|.Net(C#) Web工程師|"Title :  .Net([[[C]]][[[#]]]) Web工程師

公司簡介

一個專業數位開發平台。
目前正在尋找前端工程師，來一起建立正在快速增長的新經濟產業平台。 

職責範圍 

利用廣泛的尖端技術打造出色的產品，控制軟體開發進度，確保"|恒吉佳國際有限公司|南京東路四段51號9樓|https:////www.104.com.tw/job/7r3dv?jobsource=n104bank2
C#_20250205|20250205|C#|C#軟體開發工程師|"【你會接觸到的工作內容】
・維護公司現有系統及新功能開發 
・使用 [[[C]]][[[#]]] WinForm、ASP.NET、MVC 進行後端程式開發 
・開發 WebAPI
・參與成為敏捷開發團隊的一員，並能對使用者介面和開發提出指導和意見 
・紀錄工作內容和針對"|櫻特森系統整合股份有限公司|東興路|https:////www.104.com.tw/job/643ks?jobsource=n104bank2
C#_20250410|20250410|C#|C#軟體工程師|"【工作內容】
1. 針對現有專案或新專案的網站服務，進行前後台規劃、設計、開發及維護等。
2. 與PM共同合作，共同完成專案開發與驗收報告。
3. 開發過程中須確保專案的執行符合既定的時間與品質標準。
4. 解決專案過程中出現的技術問題，並確保軟體的功能和效能符合需求。
5. 持續學習和掌握新技術和工具，以提高開發能力和知識水平。
6.完成其他主管交辦事項。

【技術運用】
1. ASP.NET MVC 網站開發
2. ASP.NET Web API 開發
3. MSSQL 資料庫設計與調整
4. 一般後台程式開發
5. Git 版本控制使用"|諾亞克科技股份有限公司|仁愛路四段1號2樓|https:////www.104.com.tw/job/78z1q?jobsource=n104bank2
C#_20250324|20250324|C#|RD21648 軟體開發工程師(C#、Windows Forms App)|"1. 使用WPF、Entity Framework 等相關技術進行開發
2. 負責醫療資訊軟體系統開發與維護"|華碩電腦股份有限公司||https:////www.104.com.tw/job/8irx5?jobsource=n104bank2
C#_20250411|20250411|C#|資深C# .NET程式設計師|"1.	熟 ASP.net、[[[C]]][[[#]]] .Net Core MVC；負責Web 系統程式開發工作
2.	熟 .Net Core 6、.Net Core 8以上
3.	熟 Visual Studio 2019 以上
4.	有五年以上中大型以上Web 系統專"|天晴資訊有限公司||https:////www.104.com.tw/job/7v2w0?jobsource=n104bank2
C#_20250312|20250312|C#|C#.Net軟體工程師|"金融業或電信業或政府系統維護與新增功能開發(需駐點)
需熟悉[[[C]]][[[#]]].Net, MSSQL或Oracle等相關技能
JavaScript, JQuery, Ajax等前台技術"|指南動力有限公司||https:////www.104.com.tw/job/51b19?jobsource=n104bank2
C#_20250414|20250414|C#|【諮詢服務】資深 .NET/C# 後端開發人員|"職位摘要：作為一名資深 .NET/[[[C]]][[[#]]] 後端開發人員，你將有機會開發和維護各種應用程式，並使用最新的技術和方法。你將與專案經理、UI/UX 設計師、移動應用開發人員和品質保證團隊密切合作，為各行業的客戶交付專案。

主要職責：
- 使用 .NET"|安永聯合會計師事務所|基隆路一段333號9樓(110)|https:////www.104.com.tw/job/82dk1?jobsource=n104bank2
